的	u0
𦭓	la
𦭔	lk
𦭕	lk
𦭖	ls
𦭗	lj
𦭘	lz
𦭙	lz
𦭚	ln
𦭛	ll
𦭝	ly
𦭞	lr
𦭟	le
𦭠	lb
𦭡	ld
𦭢	ls
𦭣	lp
𦭤	lb
𦭥	le
𦭦	ln
𦭧	lr
𦭨	ln
𦭩	lf
𦭪	la
𦭫	lb
𦭬	lr
𦭭	lt
𦭮	lj
𦭯	la
𦭰	lb
𦭱	lg
𦭲	lb
𦭳	lz
𦭴	lo
𦭵	lg
𦭶	lp
𦭷	lq
𦭸	li
𦭹	lc
𦭺	li
𦭻	lp
𦭼	lr
𦭽	lt
𦭾	ly
𦭿	ll
𦮀	lp
𦮁	ll
𦮂	lo
𦮃	lv
𦮄	lf
𦮅	lr
𦮆	lr
𦮇	le
𦮈	li
𦮉	lb
𦮊	lg
𦮋	lo
𦮌	lv
𦮍	lv
𦮎	lh
𦮏	lm
𦮐	lm
𦮑	ld
𦮒	lm
𦮓	lp
𦮔	lv
𦮕	lh
𦮖	li
𦮗	lb
𦮘	ll
𦮙	ls
𦮚	lk
𦮛	li
𦮜	lj
𦮝	lf
𦮞	ly
𦮟	lj
𦮠	lf
𦮡	lh
𦮢	li
𦮣	ln
𦮤	lh
𦮥	lm
𦮦	lt
𦮧	lu
𦮨	lu
𦮩	lr
𦮪	lp
𦮫	lv
𦮬	lt
𦮭	lk
𦮮	lm
𦮯	lp
𦮰	lc
𦮱	ln
𦮲	la
𦮳	ls
𦮴	lv
𦮵	ly
𦮶	le
𦮷	lo
𦮸	lo
𦮹	lm
𦮺	lk
𦮻	lv
𦮼	lh
𦮽	ld
𦮾	lj
𦮿	ls
𦯀	lg
𦯁	ls
𦯂	lo
𦯃	ld
𦯄	lb
𦯅	li
𦯆	lb
𦯇	lp
𦯈	lr
𦯉	lu
𦯊	lj
𦯋	lu
𦯌	lh
𦯍	la
𦯎	lh
𦯏	ls
𦯐	ld
𦯑	ln
𦯒	lz
𦯓	lf
𦯔	lt
𦯕	le
𦯖	lg
𦯗	ld
𦯘	lr
𦯙	ll
𦯚	ld
𦯛	ll
𦯜	lp
𦯝	ly
𦯞	lt
𦯟	la
𦯠	la
𦯡	lh
𦯢	lb
𦯣	lf
𦯤	lu
𦯥	lb
𦯦	lp
𦯧	le
𦯨	ll
𦯩	lh
𦯪	li
𦯫	li
𦯬	lf
𦯭	la
𦯮	lv
𦯯	lj
𦯰	lm
𦯱	lq
𦯲	lp
𦯳	ll
𦯴	lj
𦯵	lp
𦯶	ld
𦯷	lt
𦯸	ll
𦯹	lh
𦯺	lb
𦯻	lv
𦯼	le
𦯽	lb
𦯾	ld
𦯿	lk
𦰀	ll
𦰁	lh
𦰂	lc
𦰃	ll
𦰄	la
𦰅	ld
𦰆	la
𦰇	lb
𦰈	lw
𦰉	la
𦰊	lh
𦰋	lp
𦰌	la
𦰍	lh
𦰎	ll
𦰐	lk
𦰑	lr
𦰒	lm
𦰓	lk
𦰔	le
𦰕	le
𦰖	ls
𦰗	ln
𦰘	lf
𦰙	ll
𦰚	lm
𦰛	lp
𦰜	le
𦰝	la
𦰞	lh
𦰟	lp
𦰠	ll
𦰢	lt
𦰣	li
𦰤	lq
𦰥	lt
𦰦	lh
𦰧	le
𦰨	lr
𦰩	lh
𦰪	lj
𦰫	lv
𦰬	lr
𦰭	lu
𦰮	lv
𦰯	ld
𦰰	lg
𦰱	ls
𦰲	ln
𦰳	ll
𦰴	ly
𦰵	lp
𦰶	lg
𦰷	lv
𦰸	lh
𦰹	lr
𦰺	ln
𦰻	le
𦰼	lw
𦰽	lr
𦰾	lv
𦰿	ll
𦱀	lv
𦱁	li
𦱂	lf
𦱃	la
𦱄	ly
𦱅	lc
𦱆	lv
𦱇	lu
𦱈	li
𦱉	la
𦱊	lb
𦱋	lq
𦱌	lv
𦱍	le
𦱎	lk
𦱏	ll
𦱐	lf
𦱑	lv
𦱒	lh
𦱓	ll
𦱔	lv
𦱕	lz
𦱖	lk
𦱗	lo
𦱘	ll
𦱙	lg
𦱚	lb
𦱛	lh
𦱜	li
𦱝	lp
𦱞	lk
𦱟	lh
𦱠	ll
𦱡	sz
𦱢	sz
𦱣	la
𦱤	ll
𦱥	ls
𦱦	lg
𦱧	sf
𦱨	ly
𦱩	lf
𦱪	lg
𦱫	lv
𦱬	lg
𦱭	ll
𦱮	lb
𦱯	lf
𦱰	lp
𦱱	ll
𦱲	lg
𦱳	lm
𦱴	ll
𦱵	lo
𦱶	sg
𦱷	lc
𦱸	lg
𦱹	ll
𦱺	sf
𦱻	lc
𦱼	lb
𦱽	lj
𦱾	lh
𦱿	lh
𦲀	ld
𦲁	lv
𦲂	li
𦲃	lk
𦲄	lb
𦲅	lr
𦲆	lg
𦲇	ll
𦲈	ll
𦲉	la
𦲊	lm
𦲋	lv
𦲌	lc
𦲍	lh
𦲎	ll
𦲏	ll
𦲐	lr
𦲑	lk
𦲒	lg
𦲓	lc
𦲔	lc
𦲕	lc
𦲖	la
𦲗	lr
𦲘	lh
𦲙	lk
𦲚	lm
𦲛	lm
𦲜	le
𦲝	lk
𦲞	lt
𦲟	lp
𦲠	lv
𦲡	lq
𦲢	ll
𦲣	lq
𦲤	lt
𦲥	ld
𦲦	li
𦲧	la
𦲨	li
𦲩	lp
𦲪	lr
𦲫	lt
𦲬	le
𦲭	lv
𦲮	lp
𦲯	lh
𦲰	la
𦲱	ll
𦲲	lh
𦲳	la
𦲴	lv
𦲵	ls
𦲶	lt
𦲷	li
𦲸	lt
𦲹	lv
𦲺	lb
𦲻	ln
𦲼	lm
𦲽	le
𦲾	lk
𦲿	la
𦳀	la
𦳁	lv
𦳂	lb
𦳃	lt
𦳄	lb
𦳅	lb
𦳆	lp
𦳇	la
𦳈	lv
𦳉	lv
𦳊	lp
𦳋	lr
𦳌	lh
𦳍	ly
𦳎	lf
𦳏	lf
𦳐	lf
𦳑	le
𦳒	lc
𦳓	lo
𦳔	lr
𦳕	ll
𦳖	lu
𦳗	lq
𦳘	lf
𦳙	lh
𦳚	lt
𦳛	lk
𦳜	lo
𦳝	le
𦳞	la
𦳟	lg
𦳠	lr
𦳡	lr
𦳢	lv
𦳣	lm
𦳤	lc
𦳥	lt
𦳦	ld
𦳧	lh
𦳨	le
𦳩	lv
𦳪	lh
𦳫	le
𦳬	ld
𦳭	lu
𦳮	le
𦳯	lu
𦳰	lk
𦳱	ls
𦳲	lp
𦳳	le
𦳴	ll
𦳵	lt
𦳶	lc
𦳷	ly
𦳸	lb
𦳹	li
𦳺	lu
𦳻	lt
𦳼	lj
𦳽	lp
𦳾	lp
𦳿	lo
𦴀	lq
𦴁	lb
𦴂	lg
𦴃	li
𦴄	lo
𦴅	lh
𦴆	lg
𦴇	le
𦴈	ld
𦴉	ly
𦴊	lm
𦴋	lr
𦴌	ll
𦴍	le
𦴎	lr
𦴏	ll
𦴐	lm
𦴑	lz
𦴒	lo
𦴓	lv
𦴔	lq
𦴕	lp
𦴖	ld
𦴗	lv
𦴘	sp
𦴙	le
𦴚	lu
𦴛	li
𦴜	lh
𦴝	ln
𦴞	lt
𦴟	lp
𦴠	lv
𦴡	li
𦴢	lv
𦴣	lt
𦴤	lm
𦴥	lo
𦴦	ls
𦴧	lc
𦴨	ld
𦴩	ls
𦴪	lv
𦴫	lr
𦴬	ll
𦴭	li
𦴮	ll
𦴯	lr
𦴰	ll
𦴱	la
𦴲	lh
𦴳	ll
𦴴	lb
𦴵	lk
𦴶	ke
𦴷	lg
𦴸	lf
𦴹	ls
𦴺	lm
𦴻	lm
𦴼	lk
𦴽	ln
𦴾	la
𦴿	lk
𦵀	lb
𦵁	lt
𦵂	lb
𦵃	lh
𦵄	lo
𦵅	lc
𦵆	lq
𦵇	lh
𦵈	li
𦵉	ls
𦵊	lo
𦵋	lg
𦵌	lh
𦵍	lh
𦵎	ld
𦵏	lm
𦵐	lg
𦵑	lk
𦵒	lx
𦵓	ll
𦵔	lf
𦵕	lf
𦵖	ly
𦵗	ln
𦵘	lb
𦵙	ld
𦵚	lh
𦵛	lm
𦵜	lv
𦵝	ll
𦵞	lg
𦵟	lt
𦵠	li
𦵡	ld
𦵢	lf
𦵣	lj
𦵤	lk
𦵥	lr
𦵦	lr
𦵧	li
𦵨	lh
𦵩	ly
𦵪	lh
𦵫	li
𦵬	lw
𦵭	lb
𦵮	ln
𦵯	ld
𦵰	lq
𦵱	lv
𦵲	lr
𦵳	lg
𦵴	le
𦵵	la
𦵶	le
𦵷	lg
𦵸	lc
𦵹	lp
𦵺	lk
𦵻	lo
𦵼	lt
𦵽	lm
𦵾	lv
𦵿	lp
𦶀	lx
𦶁	lm
𦶂	lm
𦶃	lv
𦶄	lg
𦶅	lu
𦶆	lg
𦶇	lv
𦶈	lm
𦶉	lv
𦶊	la
𦶋	lz
𦶌	ld
𦶍	ly
𦶎	ln
𦶏	lu
𦶐	lh
𦶑	lz
𦶒	lz
𦶓	lh
𦶔	lg
𦶕	lo
𦶖	le
𦶗	lj
𦶘	lt
𦶙	lf
𦶚	lp
𦶛	ll
𦶜	lq
𦶝	lv
𦶞	lr
𦶟	lc
𦶠	li
𦶡	ld
𦶢	lo
𦶣	lc
𦶤	lp
𦶥	lp
𦶦	lt
𦶧	lt
𦶨	ll
𦶩	la
𦶪	ll
𦶫	lx
𦶬	lh
𦶭	ll
𦶮	lb
𦶯	ll
𦶰	lv
𦶱	lo
𦶲	lb
𦶳	lb
𦶴	le
𦶵	ly
𦶶	lg
𦶷	lm
𦶸	lu
𦶹	ld
𦶺	lm
𦶻	la
𦶼	ls
𦶽	li
𦶾	ln
𦶿	le
𦷀	lp
𦷁	lr
𦷂	lq
𦷃	ll
𦷄	li
𦷅	ln
𦷆	lb
𦷇	le
𦷈	lj
𦷉	lj
𦷊	lr
𦷋	lh
𦷌	ld
𦷍	lh
𦷎	le
𦷏	li
𦷐	la
𦷑	lu
𦷒	li
𦷓	lc
𦷔	lf
𦷕	lt
𦷖	lz
𦷗	ld
𦷘	lb
𦷙	ld
𦷚	lh
𦷛	lv
𦷜	lh
𦷝	ly
𦷞	le
𦷟	lv
𦷠	lb
𦷡	lo
𦷢	lh
𦷣	lg
𦷤	lv
𦷥	lh
𦷦	lm
𦷧	lh
𦷨	lc
𦷩	lr
𦷪	lb
𦷫	lk
𦷬	lt
𦷭	lb
𦷮	ld
𦷯	ld
𦷰	lh
𦷱	li
𦷲	li
𦷳	lz
𦷴	lu
𦷵	ls
𦷶	ll
𦷷	lu
𦷸	lk
𦷹	lo
𦷺	lg
𦷻	lh
𦷼	ll
𦷽	lt
𦷾	lr
𦷿	lu
𦸀	lg
𦸁	lc
𦸂	le
𦸃	lg
𦸄	lp
𦸅	lb
𦸆	lh
𦸇	li
𦸈	ly
𦸉	ly
𦸊	lz
𦸋	le
𦸌	lp
𦸍	lp
𦸎	lk
𦸏	lu
𦸐	lg
𦸑	lp
𦸒	lz
𦸓	lk
𦸔	le
𦸕	lp
𦸖	lr
𦸗	ly
𦸘	lp
𦸙	lt
𦸚	lu
𦸛	le
𦸜	ld
𦸝	lh
𦸞	lc
𦸟	ll
𦸠	lc
𦸡	le
𦸢	lt
𦸣	ln
𦸤	lr
𦸥	lo
𦸦	lh
𦸧	lg
𦸨	la
𦸩	lu
𦸪	lr
𦸫	lt
𦸬	lh
𦸭	ld
𦸮	ld
𦸯	le
𦸰	ll
𦸱	lr
𦸲	lv
𦸳	ll
𦸴	ln
𦸵	li
𦸶	sn
𦸷	ly
𦸸	le
𦸹	ls
𦸺	lm
𦸻	ls
𦸼	ly
𦸽	lp
𦸾	lp
𦸿	lv
𦹀	lq
𦹁	le
𦹂	le
𦹃	ld
𦹄	ld
𦹅	lz
𦹆	lg
𦹇	lu
𦹈	ll
𦹉	ll
𦹊	ll
𦹋	lp
𦹌	lc
𦹍	ll
𦹎	lh
𦹏	lu
𦹐	lt
𦹑	ln
𦹒	ln
𦹓	lf
𦹔	le
𦹕	la
𦹖	li
𦹗	lw
𦹘	lo
𦹙	lb
𦹚	lb
𦹛	la
𦹜	lr
𦹝	ls
𦹞	lp
𦹟	lo
𦹠	ln
𦹡	lh
𦹢	lu
𦹣	lq
𦹤	lv
𦹥	lp
𦹦	lz
𦹧	la
𦹨	lg
𦹩	lv
𦹪	lc
𦹫	ln
𦹬	lm
𦹭	ly
𦹮	le
𦹯	cn
𦹰	lh
𦹱	lt
𦹲	lv
𦹳	lo
𦹴	lr
𦹵	lc
𦹶	lo
𦹷	ld
𦹸	lq
𦹹	lg
𦹺	lo
𦹻	lg
𦹼	ls
𦹽	ln
𦹾	lv
𦹿	lh
𦺀	lh
𦺁	le
𦺂	lc
𦺃	lv
𦺄	li
𦺅	lf
𦺆	lu
𦺇	lk
𦺈	lh
𦺉	lk
𦺊	lp
𦺋	lr
𦺌	lh
𦺍	lp
𦺎	ld
𦺏	lb
𦺐	lp
𦺑	lv
𦺒	lb
𦺓	lv
𦺔	lr
𦺕	lm
𦺖	ld
𦺗	li
𦺘	ld
𦺙	lq
𦺚	ld
𦺛	lj
𦺜	ls
𦺝	la
𦺞	lz
𦺟	lc
𦺠	ly
𦺡	lu
𦺢	ld
𦺣	lw
𦺤	le
𦺥	lt
𦺦	lw
𦺧	lp
𦺨	lw
𦺩	lp
𦺪	lx
𦺫	li
𦺬	li
𦺭	lr
𦺮	lj
𦺯	le
𦺰	li
𦺱	lo
𦺲	lo
𦺳	ld
𦺴	le
𦺵	le
𦺶	lp
𦺷	lp
𦺸	lv
𦺹	lb
𦺺	lo
𦺻	lh
𦺼	lx
𦺽	la
𦺾	lm
𦺿	lp
𦻀	lt
𦻁	le
𦻂	lq
𦻃	lu
𦻄	le
𦻅	lr
𦻆	le
𦻇	sh
𦻈	lr
𦻉	lr
𦻊	lh
𦻋	lr
𦻌	la
𦻍	lg
𦻎	lr
𦻏	la
𦻐	ln
𦻑	lk
𦻒	li
𦻓	ln
𦻔	lv
𦻕	lh
𦻖	lo
𦻗	lu
𦻘	lo
𦻙	lq
𦻚	lt
𦻛	lc
𦻜	le
𦻝	lp
𦻞	lm
𦻟	ll
𦻠	ll
𦻡	ll
𦻢	ll
𦻣	ll
𦻤	lo
𦻥	ll
𦻦	ll
𦻧	ll
𦻨	ll
𦻩	lc
𦻪	ll
𦻫	lt
𦻬	lh
𦻭	lm
𦻮	lz
𦻯	lo
𦻰	lr
𦻱	lv
𦻲	la
𦻳	lo
𦻴	ls
𦻵	ls
𦻶	lj
𦻷	lc
𦻸	ll
𦻹	lc
𦻺	ln
𦻻	lo
𦻼	lf
𦻽	lv
𦻾	lr
𦻿	lq
𦼀	lv
𦼁	lq
𦼂	ln
𦼃	lp
𦼄	lj
𦼅	lt
𦼆	li
𦼇	lh
𦼈	lc
𦼉	lu
𦼊	lh
𦼋	lk
𦼌	lv
𦼍	lp
𦼎	li
𦼏	lo
𦼐	lc
𦼑	lu
𦼒	lh
𦼓	lc
𦼔	ly
𦼕	le
𦼖	lx
𦼗	lq
𦼘	lh
𦼙	lt
𦼚	le
𦼛	le
𦼜	ly
𦼝	lb
𦼞	lq
𦼟	lp
𦼠	ll
𦼡	lr
𦼢	lt
𦼣	lm
𦼤	lp
𦼥	lo
𦼦	la
𦼧	lb
𦼨	lo
𦼩	lf
𦼪	le
𦼫	lj
𦼬	la
𦼭	lk
𦼮	le
𦼯	lu
𦼰	lf
𦼱	lm
𦼲	lq
𦼳	le
𦼴	le
𦼵	lv
𦼶	le
𦼷	lr
𦼸	lg
𦼹	lx
𦼺	ln
𦼻	lh
𦼼	lr
𦼽	lc
𦼾	lq
𦼿	lw
𦽀	lw
𦽁	lu
𦽂	lg
𦽃	li
𦽄	lr
𦽅	lz
𦽆	lh
𦽇	lu
𦽈	lm
𦽉	lc
𦽊	ld
𦽋	lg
𦽌	lq
𦽍	la
𦽎	lk
𦽏	lo
𦽐	lr
𦽑	lh
𦽒	ln
𦽓	ln
𦽔	lf
𦽕	lm
𦽖	lx
𦽗	lh
𦽘	la
𦽙	lu
𦽚	lb
𦽛	lr
𦽜	lp
𦽝	li
𦽞	lp
𦽟	lu
𦽠	lh
𦽡	lq
𦽢	lt
𦽣	le
𦽤	lt
𦽥	lx
𦽦	ll
𦽧	lv
𦽨	lb
𦽩	le
𦽪	lq
𦽫	lh
𦽬	lv
𦽭	lp
𦽮	lb
𦽯	lf
𦽰	lb
𦽱	ll
𦽲	lt
𦽳	lh
𦽴	lv
𦽵	lb
𦽶	lt
𦽷	ll
𦽸	ll
𦽹	ll
𦽺	lh
𦽻	ll
𦽼	le
𦽽	lm
𦽾	lq
𦽿	lo
𦾀	lv
𦾁	ly
𦾂	lh
𦾃	la
𦾄	lb
𦾅	lk
𦾆	lb
𦾇	la
𦾈	le
𦾉	lx
𦾊	ll
𦾋	lv
𦾌	la
𦾍	ly
𦾎	lb
𦾏	ls
𦾐	la
𦾑	lp
𦾒	lp
𦾓	la
𦾔	lo
𦾕	lq
𦾖	lc
𦾗	la
𦾘	ll
𦾙	ln
𦾚	lm
𦾛	lg
𦾜	li
𦾝	lv
𦾞	la
𦾟	la
𦾠	lf
𦾡	lh
𦾢	la
𦾣	lu
𦾤	lh
𦾥	ly
𦾦	lb
𦾧	lo
𦾨	lb
𦾩	lp
𦾪	lh
𦾫	lr
𦾬	lu
𦾭	ll
𦾮	le
𦾯	lk
𦾰	lf
𦾱	le
𦾲	lh
𦾳	lr
𦾴	li
𦾵	le
𦾶	lt
𦾷	le
𦾸	ll
𦾹	lh
𦾺	lw
𦾻	lh
𦾼	lu
𦾽	lu
𦾾	lu
𦾿	lv
𦿀	lo
𦿁	lq
𦿂	lx
𦿃	lv
𦿄	le
𦿅	lo
𦿆	le
𦿇	lt
𦿈	ld
𦿉	lq
𦿊	lq
𦿋	lf
𦿌	lc
𦿍	li
𦿎	lh
𦿏	ll
𦿐	lp
𦿑	ll
𦿒	lx
𦿓	lr
𦿔	ll
𦿕	le
𦿖	lx
𦿗	lv
𦿘	la
𦿙	lj
𦿚	lu
𦿛	lu
𦿜	lo
𦿝	lr
𦿞	lh
𦿟	lz
𦿠	ll
𦿡	lm
𦿢	ll
𦿣	ll
𦿤	ll
𦿥	ll
𦿦	lp
𦿧	lf
𦿨	lq
𦿩	ll
𦿪	ll
𦿫	lo
𦿬	lx
𦿭	lm
𦿮	ll
𦿯	lb
𦿰	ln
𦿱	lf
𦿲	lx
𦿳	lg
𦿴	ly
𦿵	lv
𦿶	lp
𦿷	lw
𦿸	lc
𦿹	lk
𦿺	lp
𦿻	ln
𦿼	ls
𦿽	lw
𦿾	lk
𦿿	lb
𧀀	lm
𧀁	ld
𧀂	lf
𧀃	lh
𧀄	le
𧀅	lx
𧀆	lz
𧀇	lq
𧀈	lo
𧀉	ly
𧀊	le
𧀋	lk
𧀌	le
𧀍	lm
𧀎	lv
𧀏	lp
𧀐	la
𧀑	ld
𧀒	lh
𧀓	lb
𧀔	le
𧀕	lu
𧀖	lt
𧀗	lq
𧀘	lo
𧀙	lc
𧀚	lc
𧀛	lc
𧀜	lp
𧀝	le
𧀞	lb
𧀟	la
𧀠	lt
𧀡	lc
𧀢	le
𧀣	lu
𧀤	ll
𧀥	lh
𧀦	lo
𧀧	lh
𧀨	lp
𧀩	le
𧀪	ly
𧀫	le
𧀬	lk
𧀭	lm
𧀮	lh
𧀯	lq
𧀰	lr
𧀱	lh
𧀲	lp
𧀳	lk
𧀴	lv
𧀵	le
𧀶	ls
𧀷	lk
𧀸	lh
𧀹	lu
𧀺	lw
𧀻	ls
𧀼	ln
𧀽	la
𧀾	lt
𧀿	lt
𧁀	lx
𧁁	lt
𧁂	lu
𧁃	lq
𧁄	lp
𧁅	lz
𧁆	lz
𧁇	sr
𧁈	le
𧁉	lm
𧁊	lh
𧁋	lh
𧁌	lj
𧁍	lr
𧁎	lh
𧁏	ls
𧁐	lo
𧁑	lh
𧁒	lk
𧁓	lf
𧁔	la
𧁕	ll
𧁖	lq
𧁗	ll
𧁘	lk
𧁙	lq
𧁚	lg
𧁛	lc
𧁜	lh
𧁝	ld
𧁞	lf
𧁟	lb
𧁠	lw
𧁡	ln
𧁢	lx
𧁣	le
𧁤	lh
𧁥	li
𧁦	ln
𧁧	li
𧁨	lm
𧁩	la
𧁪	le
𧁫	le
𧁬	ld
𧁭	lq
𧁮	lg
𧁯	lc
𧁰	lh
𧁱	lh
𧁲	lt
𧁳	lm
𧁴	lp
𧁵	lc
𧁶	lg
𧁷	ly
𧁸	le
𧁹	xc
𧁺	ld
𧁻	ll
𧁼	lu
𧁽	lu
𧁾	ly
𧁿	lc
𧂀	lw
𧂁	lp
𧂂	lp
𧂃	lw
𧂄	lp
𧂅	le
𧂆	li
𧂇	lk
𧂈	le
𧂉	lq
𧂊	lf
𧂋	lh
𧂌	lv
𧂍	lu
𧂎	lv
𧂏	lu
𧂐	lo
𧂑	ll
𧂒	lc
𧂓	op
𧂔	lr
𧂕	lq
𧂖	lz
𧂗	lk
𧂘	lb
𧂙	lc
𧂚	ya
𧂛	lr
𧂜	lb
𧂝	lp
𧂞	lc
𧂟	lo
𧂠	lu
𧂡	lh
𧂢	ly
𧂣	lr
𧂤	lo
𧂥	lr
𧂦	ll
𧂧	ll
𧂨	lp
𧂩	lc
𧂪	lo
𧂫	lv
𧂬	lo
𧂭	lk
𧂮	lb
𧂯	la
𧂰	lo
𧂱	ll
𧂲	lp
𧂳	ll
𧂴	ll
𧂵	ll
𧂶	lx
𧂷	lf
𧂸	lg
𧂹	lj
𧂺	lh
𧂻	ln
𧂼	ld
𧂽	nu
𧂾	lp
𧂿	lh
𧃀	lr
𧃁	lw
𧃂	lv
𧃃	lr
𧃄	lu
𧃅	lh
𧃆	lk
𧃇	ld
𧃈	ls
𧃉	lc
𧃊	lq
𧃋	lx
𧃌	lo
𧃍	lh
𧃎	ln
𧃏	le
𧃐	lc
𧃑	lu
𧃒	lb
𧃓	ls
𧃔	lu
𧃕	lp
𧃖	lf
𧃗	la
𧃘	lf
𧃙	lg
𧃚	lu
𧃛	lg
𧃜	lh
𧃝	la
𧃞	lh
𧃟	lh
𧃠	lv
𧃡	le
𧃢	lh
𧃣	lt
𧃤	lo
𧃥	lt
𧃦	lu
𧃧	li
𧃨	ll
𧃩	lt
𧃪	ld
𧃫	lo
𧃬	lc
𧃭	le
𧃮	lv
𧃯	lh
𧃰	lh
𧃱	lb
𧃲	lp
𧃳	lt
𧃴	lu
𧃵	lz
𧃶	lj
𧃷	la
𧃸	lh
𧃹	le
𧃺	ll
𧃻	ll
𧃼	ld
𧃽	lh
𧃾	le
𧃿	lh
𧄀	ln
𧄁	lr
𧄂	lp
𧄃	lk
𧄄	lh
𧄅	lh
𧄆	lh
𧄇	lw
𧄈	ly
𧄉	lh
𧄊	lh
𧄋	le
𧄌	lt
𧄍	lz
𧄎	li
𧄏	lh
𧄐	lr
𧄑	lo
𧄒	lu
𧄓	hd
𧄔	lo
𧄕	lp
𧄖	lc
𧄗	lf
𧄘	lr
𧄙	lv
𧄚	ld
𧄛	ls
𧄜	li
𧄝	lc
𧄞	lx
𧄟	lj
𧄠	le
𧄡	le
𧄢	lj
𧄣	cn
𧄤	ld
𧄥	lo
𧄦	lh
𧄧	la
𧄨	ll
𧄩	ll
𧄪	lo
𧄫	ll
𧄬	lr
𧄭	la
𧄮	ld
𧄯	ld
𧄰	lu
𧄱	lz
𧄲	lm
𧄳	ld
𧄴	lw
𧄵	lp
𧄶	li
𧄷	lx
𧄸	lf
𧄹	lp
𧄺	lw
𧄻	ls
𧄼	lz
𧄽	lo
𧄾	lc
𧄿	li
𧅀	lz
𧅁	lf
𧅂	le
𧅃	lc
𧅄	lh
𧅅	lc
𧅆	lc
𧅇	lc
𧅈	lu
𧅉	lm
𧅊	lu
𧅋	ln
𧅌	lp
𧅍	lb
𧅎	ll
𧅏	ll
𧅐	lc
𧅑	ls
𧅒	lz
𧅓	ld
𧅔	la
𧅕	lp
𧅖	lx
𧅗	lp
𧅘	ll
𧅙	lw
𧅚	lr
𧅛	lu
𧅜	le
𧅝	lo
𧅞	lr
𧅟	le
𧅠	lq
𧅡	ld
𧅢	lj
𧅣	lu
𧅤	lo
𧅥	lo
𧅦	eh
𧅧	lx
𧅨	lm
𧅩	lu
𧅪	lc
𧅫	le
𧅬	lc
𧅭	lj
𧅮	lc
𧅯	lx
𧅰	lr
𧅱	lf
𧅲	le
𧅳	lx
𧅴	lf
𧅵	ln
𧅶	lc
𧅷	lh
𧅸	lg
𧅹	lw
𧅺	lt
𧅻	lx
𧅼	lf
𧅽	lk
𧅾	le
𧅿	lx
𧆀	lu
𧆁	ll
𧆂	lf
𧆃	li
𧆄	xe
𧆅	lb
𧆆	ld
𧆇	lc
𧆈	lw
𧆉	li
𧆊	lw
𧆋	lc
𧆌	lf
𧆍	li
𧆎	lh
𧆏	lq
𧆐	lo
𧆑	lu
𧆒	lh
𧆓	lx
𧆔	lt
𧆕	lx
𧆖	lx
𧆗	la
𧆘	le
𧆙	li
𧆚	ll
𧆛	zr
𧆜	za
𧆝	zt
𧆞	zr
𧆟	zk
𧆠	zu
𧆡	oz
𧆢	zi
𧆣	zm
𧆤	zr
𧆥	zs
𧆦	ez
𧆧	zp
𧆨	zq
𧆩	zj
𧆪	za
𧆫	za
𧆬	zk
𧆭	zd
𧆮	zi
𧆯	zt
𧆰	zh
𧆱	zd
𧆲	zh
𧆳	zf
𧆴	zv
𧆵	ze
𧆶	za
𧆷	zk
𧆸	zc
𧆹	zh
𧆺	jz
𧆻	zc
𧆼	zw
𧆽	zu
𧆾	zh
𧆿	zt
𧇀	zh
𧇁	zr
𧇂	ze
𧇃	ze
𧇄	zq
𧇅	zo
𧇆	zh
𧇇	zf
𧇈	zf
𧇉	zc
𧇊	za
𧇋	zo
𧇌	zd
𧇍	az
𧇎	zd
𧇏	zm
𧇐	jz
𧇑	pz
𧇒	zs
𧇓	zp
𧇔	zo
𧇕	zq
𧇖	zq
𧇗	zq
𧇘	ff
𧇙	zs
𧇚	zu
𧇛	zk
𧇜	qz
𧇝	yz
𧇞	zp
𧇟	zd
𧇠	zo
𧇡	zc
𧇢	wz
𧇣	zf
𧇤	zu
𧇥	ze
𧇦	kz
𧇧	yr
𧇨	ze
𧇩	zq
𧇪	zo
𧇫	zh
𧇬	qz
𧇭	zs
𧇮	zd
𧇯	zh
𧇰	zh
𧇱	zd
𧇲	mf
𧇳	kz
𧇴	zf
𧇵	ju
𧇶	zo
𧇷	oz
𧇸	zc
𧇹	zo
𧇺	mc
𧇻	za
𧇼	dz
𧇽	zh
𧇾	za
𧇿	zf
𧈀	zj
𧈁	hj
𧈂	za
𧈃	za
𧈄	zh
𧈅	yz
𧈆	zw
𧈇	ze
𧈈	ze
𧈉	zv
𧈊	oz
𧈋	zw
𧈌	nz
𧈍	dz
𧈎	ze
𧈏	mz
𧈐	dz
𧈑	zr
𧈒	zw
𧈓	zh
𧈔	zo
𧈕	da
𧈖	yz
𧈗	yz
𧈘	zo
𧈙	zk
𧈚	za
𧈛	jz
𧈜	zn
𧈝	ca
𧈞	ca
𧈟	nc
𧈠	nc
𧈡	rc
𧈢	ch
𧈣	cv
𧈤	kc
𧈥	ck
𧈦	vc
𧈧	kc
𧈨	yc
𧈩	pc
𧈪	sc
𧈫	uc
𧈬	uc
𧈭	cp
𧈮	ci
𧈯	ca
𧈰	cu
𧈱	pc
𧈲	ac
𧈳	ci
𧈴	cx
𧈵	ct
𧈶	co
𧈷	cl
𧈸	hc
𧈹	mc
𧈺	cp
𧈻	cr
𧈼	ca
𧈽	ck
𧈾	cc
𧈿	cb
𧉀	cs
𧉁	vc
𧉂	cm
𧉃	cp
𧉄	ca
𧉅	ct
𧉆	cs
𧉇	hc
𧉈	cc
𧉉	ac
